Edible,Color,Shape,Surface
E,White,Puffballs,RaisedScales
E,White,Puffballs,RaisedScales
E,BrownPale,Puffballs,RaisedScales
E,Brown,Puffballs,RaisedScales
E,WhitePale,Puffballs,RaisedScales
P,White,Convex,Smooth
E,Gray,Flat,Smooth
E,Brown,Flat,FlatScales
E,GrayBrown,Flat,Smooth
P,Pale,Stinkhorns,
I,Brown,Flat,Silky
E,WhiteBrown,Conical,Patches
E,WhiteBrown,Knobbed,Patches
P,White,Flat,Smooth
I,WhitePale,Depressed,Smooth
P,Pink,Conical,Smooth
E,Pale,Knobbed,Smooth
I,BrownWhite,Depressed,Smooth
P,PaleOrange,Knobbed,Smooth
P,Gray,Knobbed,Smooth
E,BrownGray,Flat,Smooth
I,Dark,Truffles,
E,Brown,Knobbed,Smooth
E,BrownDark,Convex,Smooth
E,Brown,Flat,Smooth
P,Orange,CupFungi,RaisedScales
E,Brown,Polypore,Smooth
P,Brown,ToothFungi,Smooth
P,BrownGreen,CoralFungi,Smooth
P,Yellow,CoralFungi,Smooth
P,BlueGreen,CoralFungi,Smooth
I,Red,CupFungi,Hairy
I,Red,CupFungi,Hairy
P,Yellow,CoralFungi,Smooth
E,BrownDark,Conical,
E,Gray,Cylindrical,
E,Tan,Conical,
E,Dark,TrueMorels,
E,Pale,Conical,
E,BrownDark,Conical,
E,PurpleDark,Conical,
E,GrayDark,Conical,
E,Dark,Conical,
E,Gray,TrueMorels,
E,Dark,TrueMorels,
E,GrayDark,TrueMorels,
,YellowWhite,,
P,Red,Stinkhorns,
E,RedDark,Stinkhorns,
P,OrangeRed,Bellshaped,Smooth
I,Pink,Bellshaped,Smooth
I,Gray,Bellshaped,Smooth
I,Gray,Bellshaped,Smooth
P,Gray,Bellshaped,Smooth
P,Yellow,Bellshaped,Smooth
E,Pale,Convex,Smooth
P,Violet,Convex,Smooth
E,Yellow,Bellshaped,Smooth
P,Pale,Conical,Smooth
E,GrayBrown,Conical,Smooth
I,WhiteYellow,Conical,Smooth
P,Pink,Convex,Smooth
I,TanGray,Knobbed,Smooth
I,PaleGray,Bellshaped,Smooth
P,Pale,Conical,Smooth
I,Brown,Funnelshaped,Smooth
P,OrangeBrown,Conical,Smooth
P,GrayPale,Convex,Smooth
E,Pink,Depressed,Smooth
I,GrayBrown,Flat,Smooth
P,Yellow,Convex,Smooth
P,PalePurple,Convex,Smooth
I,GrayBrown,Bellshaped,Smooth
P,LilacPink,Convex,Smooth
P,PurplePink,Bellshaped,Smooth
P,PinkBrown,Conical,Smooth
P,Pink,Bellshaped,Smooth
P,Orange,Knobbed,Smooth
P,Brown,Conical,Smooth
